Gene.symbol	ID	adj.P.Val	logFC
FREM1	8160168	5.91860065137323e-43	-3.4098246065
HLF	8008588	1.25000187178764e-27	-4.14036367338889
MPDZ	8160088	4.29242039106645e-21	-3.67006387844445
NAP1L3	8173917	1.4360337138277e-20	-4.12074150494444
	8104723	3.91620659164394e-20	-2.97287592405556
PRKG2	8101284	3.33266918640184e-19	-5.87476460055556
NKAIN2	8121814	4.37937991746667e-19	-4.67348965777778
SGCZ	8149438	6.74628222732544e-19	-1.87749534672222
CRHBP	8106418	1.7400043626352e-18	-4.41211256005555
CP	8091385	2.04425160360241e-17	-2.84665700283333
	8145685	5.35010645238685e-17	-2.49897428161111
RNF17	7968085	1.64982804430014e-16	-1.48132849744444
MYCT1	8122860	2.78287200834573e-16	-5.55381216261111
PDZD2	8104693	1.06523235376102e-15	-2.441912577
ADGRG6	8122365	3.5485716026171e-15	-4.53988456877778
PRKG1	7927606	4.05844488913799e-15	-1.97547089594445
LRCH2	8174610	1.62276260225947e-14	-2.05384542405556
SPOCK3	8103544	2.43078311967204e-14	-2.01924801716667
ABI3BP	8089145	5.21942637984724e-14	-1.66470489877778
DPPA4	8089448	1.08855221989653e-13	-3.70729284966667
ST6GAL2	8054439	1.56846909375902e-13	-2.07099867272222
LIMCH1	8094789	1.64415796203965e-13	-2.21014730072222
FAM19A2	7964631	1.74489815827097e-13	-3.51643468888889
PGM5P2///PGM5	8161520	2.23074381556934e-12	-3.47905136172222
PLOD2	8091283	7.52470568981453e-12	-4.35933577477778
GPC5	7969596	8.40661023575737e-12	-1.85512639205556
ELN	8133372	1.03558867515865e-11	-1.94814958
SLC22A17	7977965	4.07360986212238e-11	-1.85750208744444
	7894459	4.12198585081344e-11	2.08102628761111
CEP126	7943376	9.97410810498405e-11	-2.77985165477778
SGIP1	7902127	1.45281906730711e-10	-2.26668834611111
SLC25A27	8120067	1.45281906730711e-10	-3.00860672877778
PDZRN4	7954926	1.47941592307232e-10	-1.45980796511111
CDH7	8021668	3.21563881299249e-10	-1.71811622361111
MIR24-2	8034694	3.21563881299249e-10	-3.61649140277778
PGM5	8155665	3.21563881299249e-10	-2.11143035911111
	7906969	7.40762604687987e-10	-3.11516283433334
